IdInstitucional;NOMBRE;DOMIC;Tur 4 a 7;TELEF;LOCALIDAD;CP;SECTOR;PROVINCIA;DISTRITO;UBICACION;e-mail EGB;Observaciones
31;ESC. 03 ONESIMO LEGUIZAMON;AV.SANTA FE 1510;JC;811-9814;CIUDAD DE BS AS;1060;OFICIAL;CIUDAD DE BS AS;01;CIUDAD DE BS AS;;
32;ESC. 04 J. M. ESTRADA;RECONQUISTA 461;JC;312-0918;CIUDAD DE BS AS;1003;OFICIAL;CIUDAD DE BS AS;01;CIUDAD DE BS AS;;
33;ESC. 06 FRENCH Y BERUTI;BASAVILBASO 1295;JC;4313-3224;CIUDAD DE BS AS;1062;OFICIAL;CIUDAD DE BS AS;01;CIUDAD DE BS AS;;
34;ESC. 08 NICOLAS AVELLANEDA;TALCAHUANO 680;JC;371-9336;CIUDAD DE BS AS;1013;OFICIAL;CIUDAD DE BS AS;01;CIUDAD DE BS AS;itati46@educ.ar;
35;ESC. 09 FAMILIA DE CABEZON;TTE.GRAL. JUAN D.PERON 1140;JC;3811891;CIUDAD DE BS AS;1038;OFICIAL;CIUDAD DE BS AS;01;CIUDAD DE BS AS;;
36;ESC. 10 PRESIDENTE QUINTANA;LAVALLE 2366;JC;9529700;CIUDAD DE BS AS;1052;OFICIAL;CIUDAD DE BS AS;01;CIUDAD DE BS AS;;
37;ESC. 13 GENERAL SAN MARTIN;SAN MARTIN 458;JC;394-5932;CIUDAD DE BS AS;1004;OFICIAL;CIUDAD DE BS AS;01;CIUDAD DE BS AS;;
38;ESC. 14 CORNELIO SAAVEDRA;SARMIENTO 2250;JC;951-0834;CIUDAD DE BS AS;1044;OFICIAL;CIUDAD DE BS AS;01;CIUDAD DE BS AS;;
39;ESC. 23 BERNARDINO RIVADAVIA;LARREA 854;JC;9613175;CIUDAD DE BS AS;1117;OFICIAL;CIUDAD DE BS AS;01;CIUDAD DE BS AS;;
40;ESC. 24 C. Y F.PIZARRO Y M. PIZARRO Y M.;PEÑA 2670;JC;8056554;CIUDAD DE BS AS;1425;OFICIAL;CIUDAD DE BS AS;01;CIUDAD DE BS AS;;
41;ESC. 02  DOMINGO F. SARMIENTO;QUINTANA 31;M;811-2795 812-1518/0218;CIUDAD DE BS AS;1014;OFICIAL;CIUDAD DE BS AS;01;CIUDAD DE BS AS;;
42;ESC. 05 NICOLAS RODRIGUEZ PEÑA;RODRIGUEZ PEÑA 747;MT;811-9190;CIUDAD DE BS AS;1020;OFICIAL;CIUDAD DE BS AS;01;CIUDAD DE BS AS;;
43;ESC. 07 PRESIDENTE ROCA;LIBERTAD 581;MT;382-2488;CIUDAD DE BS AS;1012;OFICIAL;CIUDAD DE BS AS;01;CIUDAD DE BS AS;;
44;ESC. 12 GENERAL LAS HERAS;J.ALVAREZ 2849;JC;8247598;CIUDAD DE BS AS;1425;OFICIAL;CIUDAD DE BS AS;01;CIUDAD DE BS AS;;
45;ESC. 16 WENCESLAO POSSE;JUNCAL 3131;MT;8042411;CIUDAD DE BS AS;1425;OFICIAL;CIUDAD DE BS AS;01;CIUDAD DE BS AS;silferreyra@yahoo.com.ar;
46;ESC. 18 DR RAFAEL HERRERA VEGAS;AVENIDA LAS HERAS 3086;MT;8057916;CIUDAD DE BS AS;1425;OFICIAL;CIUDAD DE BS AS;01;CIUDAD DE BS AS;;
47;ESC. 21 ANGEL GALLARDO;AYACUCHO 1849;JC;804-5038;CIUDAD DE BS AS;1112;OFICIAL;CIUDAD DE BS AS;01;CIUDAD DE BS AS;;
48;ESC. 26 ADOLFO VAN GELDEREN;SALGUERO 2455;MT;804-2359;CIUDAD DE BS AS;1425;OFICIAL;CIUDAD DE BS AS;01;CIUDAD DE BS AS;;
49;ESC. NORMAL SUPERIOR Nº 01;PARAGUAY 1950;MT;4812-5602;CIUDAD DE BS AS;1120;OFICIAL;CIUDAD DE BS AS;01;CIUDAD DE BS AS;ens1de1@buenosaires.edu.ar;
50;NORMAL  09  DOMINGO FAUSTINO SARMIENTO;CALLAO 450;MT;4476-2157;CIUDAD DE BS AS;1022;OFICIAL;CIUDAD DE BS AS;01;CIUDAD DE BS AS;ens9de1@yahoo.com.ar;
51;LENGUAS VIVAS JOHN F. KENNEDY;JUNCAL 3251;T;4807-2966/2967/2958;CIUDAD DE BS AS;1425;OFICIAL;CIUDAD DE BS AS;01;CIUDAD DE BS AS;;
52;LENGUAS VIVAS JUAN R.FERNANDEZ;CARLOS PELLEGRINI 1483;T;393-6898;CIUDAD DE BS AS;1011;OFICIAL;CIUDAD DE BS AS;01;CIUDAD DE BS AS;iesvivas@capital.cf.rffdc.edu.ar;
53;DEL SALVADOR;CALLAO 542;M;5237-2500 int. 105;CIUDAD DE BS AS;1022;PRIVADO;CIUDAD DE BS AS;01;CIUDAD DE BS AS;info@colegiodelsalvador.esc.edu.ar;
54;ETCHEVERRY BONEO;JUNCAL 2131;M;822-3687;CIUDAD DE BS AS;1125;PRIVADO;CIUDAD DE BS AS;01;CIUDAD DE BS AS;;
55;NUESTRA SEÑORA;ESMERALDA 759;M;3935795;CIUDAD DE BS AS;1007;PRIVADO;CIUDAD DE BS AS;01;CIUDAD DE BS AS;cnuestrasenora@yahoo.com.ar;
56;SAN MIGUEL;LARREA NRO.1254;T;8211128;CIUDAD DE BS AS;1117;PRIVADO;CIUDAD DE BS AS;01;CIUDAD DE BS AS;info@colegiosanmiguel.edu.ar,secretaria@colegiosanmiguel.edu.ar;
57;JESUS MARIA;URUGUAY 1241;M;8113444/8123;CIUDAD DE BS AS;1014;PRIVADO;CIUDAD DE BS AS;01;CIUDAD DE BS AS;;
58;JOSEFA C. DE GUTIERREZ;ARROYO 941;M;393-9918;CIUDAD DE BS AS;1007;PRIVADO;CIUDAD DE BS AS;01;CIUDAD DE BS AS;parroquia@madreadmirable.com.ar;
59;SAN MARTIN DE TOURS (VARONES);AV.FIGUEROA ALCORTA 3380;M;48029192;CIUDAD DE BS AS;1425;PRIVADO;CIUDAD DE BS AS;01;CIUDAD DE BS AS;secretaria@ismt.esc.edu.ar;Ver a Coord. Marcela Cueli
60;LA PIEDAD;PARANA NRO.56;MT;3839765;CIUDAD DE BS AS;1017;PRIVADO;CIUDAD DE BS AS;01;CIUDAD DE BS AS;escuelalapiedad@yahoo.com.ar;
61;ARCO IRIS;JOSE E.URIBURU NRO.1220;M;8244697;CIUDAD DE BS AS;1114;PRIVADO;CIUDAD DE BS AS;01;CIUDAD DE BS AS;arcoiris@websail.com.ar;
62;SAN JOSE;B. MITRE 2445;M;951-4303;CIUDAD DE BS AS;1029;PRIVADO;CIUDAD DE BS AS;01;CIUDAD DE BS AS;informes@colegiosanjo.edu.ar;
63;TORATENU;ANCHORENA 719;M;961-3082/465;CIUDAD DE BS AS;1052;PRIVADO;CIUDAD DE BS AS;02;CIUDAD DE BS AS;primariatoratenu@yahoo.com.ar;
64;SAN MARTIN DE TOURS (NIÑAS);AV.ORTIZ DE OCAMPO 2840;M;807-1212;CIUDAD DE BS AS;1425;PRIVADO;CIUDAD DE BS AS;01;CIUDAD DE BS AS;abagattin@smt.edu.ar;
65;RELIGIOSA ISRAELITA ARGENTINA;ECUADOR 928;T;9626423;CIUDAD DE BS AS;1214;PRIVADO;CIUDAD DE BS AS;02;CIUDAD DE BS AS;heyalhatora@yahoo.com.ar;
67;GUADALUPE;PARAGUAY 3925;M;4824-6093/4824-5641;CIUDAD DE BS AS;1225;PRIVADO;CIUDAD DE BS AS;02;CIUDAD DE BS AS;biblioguadalupe@ciudad.com.ar;Ver a María Luisa Bibliotecaria
68;GUIDO SPANO;BILLINGHURST 1355;T;963-4378;CIUDAD DE BS AS;1425;PRIVADO;CIUDAD DE BS AS;02;CIUDAD DE BS AS;colegio@guidospano.esc.edu.ar;
69;WILLIAM C MORRIS;LAVALLE 3761;T;863-0348;CIUDAD DE BS AS;1190;PRIVADO;CIUDAD DE BS AS;02;CIUDAD DE BS AS;morris@bellocom.com;
70;INMACULADA CONCEPCION;MARIO BRAVO 563;M;862-1635;CIUDAD DE BS AS;1175;PRIVADO;CIUDAD DE BS AS;02;CIUDAD DE BS AS;rectora@cicbue.com;
71;DIVINO CORAZON;REPUBLICA DOMINICANA 2586;M;4823-8452;CIUDAD DE BS AS;1425;PRIVADO;CIUDAD DE BS AS;02;CIUDAD DE BS AS;instdivinocorazon@ciudad.com.ar;Ver a Coord./ ver a Adriana biblotecaria .
72;CASA DE JESUS;AV.CORRIENTES 4471;M;4862-5254;CIUDAD DE BS AS;1195;PRIVADO;CIUDAD DE BS AS;02;CIUDAD DE BS AS;casa_de_jesus@yahoo.com.ar;
73;ANGELES CUSTODIOS;MANSILLA 2588;M;9618992;CIUDAD DE BS AS;1425;PRIVADO;CIUDAD DE BS AS;02;CIUDAD DE BS AS;;
75;BETANIA;FCO ACUÑA DE FIGUEROA 855;M;863-0705;CIUDAD DE BS AS;1180;PRIVADO;CIUDAD DE BS AS;02;CIUDAD DE BS AS;colegiobetania@2vias.com.ar;
76;NUESTRA SEÑORA DEL VALLE;SAN LUIS 3358;M;862-2515;CIUDAD DE BS AS;1186;PRIVADO;CIUDAD DE BS AS;02;CIUDAD DE BS AS;inst_delvalle@yahoo.com;
77;CORAZON DE MARIA;GUISE 1979;T;8220863;CIUDAD DE BS AS;1425;PRIVADO;CIUDAD DE BS AS;02;CIUDAD DE BS AS;icemaria2002@yahoo.com.ar;
78;BENITO NAZAR;ESTADO DE ISRAEL 4230;M;8624993;CIUDAD DE BS AS;1185;PRIVADO;CIUDAD DE BS AS;02;CIUDAD DE BS AS;webmastercbu@yahoo.com;
80;TIERRA SANTA;SANCHES DE BUSTAMANTE 124;MT;861-2067;CIUDAD DE BS AS;1201;PRIVADO;CIUDAD DE BS AS;02;CIUDAD DE BS AS;institutotierrasanta@edu.a,betty_lor@hotmail.com;
81;ESPIRITU SANTO;FCO ACUÑA FIGUEROA 1742;JC;863-6362;CIUDAD DE BS AS;1180;PRIVADO;CIUDAD DE BS AS;02;CIUDAD DE BS AS;espiritusanto@fibertel.com.ar;
82;RIO DE LA PLATA;Anchorena 1654;M;821-8821;CIUDAD DE BS AS;1425;PRIVADO;CIUDAD DE BS AS;02;CIUDAD DE BS AS;primariacastellano@colagioriodelaplata.edu.ar;
83;EDMUNDO DE AMICIS;QUIRNO COSTA 1260;M;964-0513;CIUDAD DE BS AS;1425;PRIVADO;CIUDAD DE BS AS;02;CIUDAD DE BS AS;edmundodeamicis@fibertel.com.ar;
84;COLECTIVIDAD HELENICA;JULIAN ALVAREZ NRO.1030;M;7776222;CIUDAD DE BS AS;1414;PRIVADO;CIUDAD DE BS AS;02;CIUDAD DE BS AS;helenico_a_814@yahoo.com.ar;
85;ALETHEIA;GALLO 1341;M;961-0814;CIUDAD DE BS AS;1425;PRIVADO;CIUDAD DE BS AS;02;CIUDAD DE BS AS;colegioaletheia@arnet.com.ar;
86;SHUBA ISRAEL;ECUADOR 651;T;862-2701;CIUDAD DE BS AS;1214;PRIVADO;CIUDAD DE BS AS;02;CIUDAD DE BS AS;;
87;NEW MODEL INTERNATIONAL SCHOOL;EL SALVADOR 3952;M;4825-2900;CIUDAD DE BS AS;1175;PRIVADO;CIUDAD DE BS AS;02;CIUDAD DE BS AS;primaria@newmodel.com.ar;
88;GALILEO GALILEI;PALESTINA (EX RAWSON) 748;M;8629179;CIUDAD DE BS AS;1182;PRIVADO;CIUDAD DE BS AS;02;CIUDAD DE BS AS;graciela.corsico@vaneduc.edu.ar;
89;SANTA CLARA DE ASIS;JOSE HERNANDEZ 528;T;0237-4853961;ISLAS MALVINAS;1748;PRIVADO;BUENOS AIRES;GENERAL RODRIGUEZ;GBA OESTE;;
90;ARCANGEL SAN MIGUEL;ANCHORENA 41;T;;CIUDAD DE BS AS;1170;PRIVADO;CIUDAD DE BS AS;02;CIUDAD DE BS AS;sanmiguel1@kennedy.edu.ar;
91;NUEVA EXPRESION;HUMAHUACA 4248;M;8660566;CIUDAD DE BS AS;1192;PRIVADO;CIUDAD DE BS AS;02;CIUDAD DE BS AS;nuevaexpresionweb@yahoo.com.ar;
92;ESC. 05 IRSULA LLAMES DE LAFUENTE;MANSILLA 3643;JC;8232477;CIUDAD DE BS AS;1425;OFICIAL;CIUDAD DE BS AS;02;CIUDAD DE BS AS;u_llames@yahoo.com.ar;
93;ESC. 06 GRAL MARTIN RODRIGUEZ;ANCHORENA 441;JC;861-2434;CIUDAD DE BS AS;1170;OFICIAL;CIUDAD DE BS AS;02;CIUDAD DE BS AS;;
94;ESC. 07 DEL CENTENARIO;RIO DE JANEIRO 966;JC;9835877;CIUDAD DE BS AS;1405;OFICIAL;CIUDAD DE BS AS;02;CIUDAD DE BS AS;bibliocentenario@yahoo.com.ar;
95;ESC. 10 GREGORIA PEREZ;ARENALES 2733;JC;822-3224;CIUDAD DE BS AS;1425;OFICIAL;CIUDAD DE BS AS;02;CIUDAD DE BS AS;;
96;ESC. 14 JUAN MARTIN DE PUEYRREDON;AVDA PUEYRREDON 630 P1;JC;961-9160;CIUDAD DE BS AS;1032;OFICIAL;CIUDAD DE BS AS;02;CIUDAD DE BS AS;apueyrredon@fibertel.com.ar;
97;ESC. 16 PRESIDENTE MITRE;SARMIENTO 2802;JC;861-9775;CIUDAD DE BS AS;1196;OFICIAL;CIUDAD DE BS AS;02;CIUDAD DE BS AS;esc16de02@fibertel.com.ar;
98;ESC. 17 PRESIDENTE URIBURU;AV.ANGEL GALLARDO 246;JC;863-2923;CIUDAD DE BS AS;1405;OFICIAL;CIUDAD DE BS AS;02;CIUDAD DE BS AS;pri17de02@buenosaires.edu.ar/lalo62@hotmail.com;
99;ESC. 18 DR.ALEJANDRO CARBO;MARIO BRAVO NRO.234;JC;861-5527;CIUDAD DE BS AS;1175;OFICIAL;CIUDAD DE BS AS;02;CIUDAD DE BS AS;andria@educ.ar;
100;ESC. 23 TOMAS M.DE ANCHORENA;ANCHORENA 855;JC;961-3386;CIUDAD DE BS AS;1170;OFICIAL;CIUDAD DE BS AS;02;CIUDAD DE BS AS;pri23de02@buenosaires.edu.ar;
101;ESC. 03 MANUEL SOLA;LAMBARE 975;MT;8625682;CIUDAD DE BS AS;1185;OFICIAL;CIUDAD DE BS AS;02;CIUDAD DE BS AS;glorisa47@hotmail.com,pri3de02@educ.ar;
102;ESC. 04 AMADEO JACQUES;SOLER 3929;MT;824-6364;CIUDAD DE BS AS;1425;OFICIAL;CIUDAD DE BS AS;02;CIUDAD DE BS AS;amadeojacques@yahoo.com.ar;
103;ESC. 09 CNEL. GENARO BERON DE ASTRADA;EL SALVADOR 4037;JC;862-9460;CIUDAD DE BS AS;1175;OFICIAL;CIUDAD DE BS AS;02;CIUDAD DE BS AS;susanacevedo@hotmail.com/marianadifonzo@hotmail.com;
104;ESC. 20 ROSARIO VERA PEÑALOZA;PRINGLES 1165;MT;8629561;CIUDAD DE BS AS;1183;OFICIAL;CIUDAD DE BS AS;02;CIUDAD DE BS AS;escuela20@fullzero.com.ar;
105;ESC. 22 CARLOS JAVIER BENIELLI;SANCHEZ DE BUSTAMANTE 260;MT;861-3431;CIUDAD DE BS AS;1173;OFICIAL;CIUDAD DE BS AS;02;CIUDAD DE BS AS;escuela22de2@yahoo.com.ar;
106;ESC. 24 PROVINCIA DE CATAMARCA;JEAN JAURES 870;MT;961-3657;CIUDAD DE BS AS;1215;OFICIAL;CIUDAD DE BS AS;02;CIUDAD DE BS AS;pri24de02@buenosaires.esc.edu.ar;
107;NORMAL 06 VICENTE LOPEZ Y PLANES;GÜEMES 3859;T;8240383/4102;CIUDAD DE BS AS;1425;OFICIAL;CIUDAD DE BS AS;02;CIUDAD DE BS AS;ens6de2@buenosaires.esc.edu.ar;
108;NORMAL SUPERIOR Nº 07 JOSE MARIA TORRES;CORRIENTES 4261;M;863-3839;CIUDAD DE BS AS;1195;OFICIAL;CIUDAD DE BS AS;02;CIUDAD DE BS AS;rafa1468@hotmail.com;
109;MERCEDES PACHECO;ANCHORENA 1553;M;822-0508;CIUDAD DE BS AS;1425;PRIVADO;CIUDAD DE BS AS;02;CIUDAD DE BS AS;mercedespacheco@arnet.com.ar;
110;ESC. 11 PROVINCIA DE JUJUY;ROBERTO NUÑEZ 4355;JC;8624789;CIUDAD DE BS AS;1182;OFICIAL;CIUDAD DE BS AS;02;CIUDAD DE BS AS;;
111;GONZALEZ PECOTCHE;VIDT 1631;M;825-6927;CIUDAD DE BS AS;1425;PRIVADO;CIUDAD DE BS AS;02;CIUDAD DE BS AS;primaria@igp.esc.edu.ar;
112;ESC. 02  JUAN LARREA;LAPRIDA 1235;JC;821-5725;CIUDAD DE BS AS;1425;OFICIAL;CIUDAD DE BS AS;02;CIUDAD DE BS AS;;
113;ESC. 19 FLORENCIO BALCARCE;FRANCISCO ACUÑA DE FIGUEROA 850;JC;862-4167;CIUDAD DE BS AS;1180;OFICIAL;CIUDAD DE BS AS;02;CIUDAD DE BS AS;esc19de02@yahoo.com.ar;
114;ESC. 08 DR.ARTURO MATEO BAS;SAN LUIS 3224;MT;862-1275;CIUDAD DE BS AS;1185;OFICIAL;CIUDAD DE BS AS;02;CIUDAD DE BS AS;;
115;ESC. 13 REPUBLICA ISLAMICA DE IRAN;JOSE A.CABRERA 3484;MT;4963-4565;CIUDAD DE BS AS;1186;OFICIAL;CIUDAD DE BS AS;02;CIUDAD DE BS AS;biblioteca13_2@yahoo.com.ar;
116;ESC. 09 MARIANO MORENO;MORENO 2104;MT;952-1949;CIUDAD DE BS AS;1094;OFICIAL;CIUDAD DE BS AS;03;CIUDAD DE BS AS;;
118;ESTEBAN ECHEVERRIA;AV.SAN JUAN 961;MT;300-5032;CIUDAD DE BS AS;1147;PRIVADO;CIUDAD DE BS AS;03;CIUDAD DE BS AS;;
119;EUSKAL-ECHEA;SARANDI 735;M;9427565;CIUDAD DE BS AS;1222;PRIVADO;CIUDAD DE BS AS;03;CIUDAD DE BS AS;euskalechea@ciudad.com.ar;
120;NUESTRA SEÑORA DEL HUERTO;AVDA.INDEPENDENCIA 2140;T;942-4585/058;CIUDAD DE BS AS;1225;PRIVADO;CIUDAD DE BS AS;03;CIUDAD DE BS AS;bibliohuerto@ciudad.com.ar;Ver a María Luisa Bibliotecaria
121;JESUS MARIA DE SAN VICENTE DE PAUL;CARLOS CALVO 922;M;300-2468;CIUDAD DE BS AS;1102;PRIVADO;CIUDAD DE BS AS;03;CIUDAD DE BS AS;;
122;DON BOSCO;SOLIS 252;M;372-9525;CIUDAD DE BS AS;1078;PRIVADO;CIUDAD DE BS AS;03;CIUDAD DE BS AS;secretariaprim@d-bosco.com.ar;
123;LA PROVIDENCIA;COCHABAMBA 1414;T;305-8077;CIUDAD DE BS AS;1148;PRIVADO;CIUDAD DE BS AS;03;CIUDAD DE BS AS;instlaprovidencia@yahoo.com.ar;
124;ANCHORENA DE IBAÑEZ;AV.SAN JUAN 1774;MT;304-7924;CIUDAD DE BS AS;1148;PRIVADO;CIUDAD DE BS AS;03;CIUDAD DE BS AS;;
125;N. S. DE MONSERRAT;BELGRANO 1344;MT;4383-7817;CIUDAD DE BS AS;1092;PRIVADO;CIUDAD DE BS AS;03;CIUDAD DE BS AS;institutomonserrat@yahoo.com.ar;
126;ISABEL CONDE DE HERNANDEZ;MORENO 1859;M;4764117;CIUDAD DE BS AS;1094;PRIVADO;CIUDAD DE BS AS;03;CIUDAD DE BS AS;condedehernandez@tutopia.com;
127;INMACULADA CONCEPCION;CARLOS CALVO 1186;MT;4305-4189;CIUDAD DE BS AS;1102;PRIVADO;CIUDAD DE BS AS;03;CIUDAD DE BS AS;info@iiconcepcion.edu.ar;
128;DON ORIONE;HIPOLITO YRIGOYEN 2084;M;952-1641;CIUDAD DE BS AS;1089;PRIVADO;CIUDAD DE BS AS;03;CIUDAD DE BS AS;orionecongreso@hotmail.com;
129;FEDERICO G.FROEBEL;ENTRE RIOS 1651;M;3041817;CIUDAD DE BS AS;1133;PRIVADO;CIUDAD DE BS AS;03;CIUDAD DE BS AS;froebel@fibertel.com.ar;
130;LOS ROBLES;AVDA.BELGRANO 1548;M;383-5746;CIUDAD DE BS AS;1093;PRIVADO;CIUDAD DE BS AS;03;CIUDAD DE BS AS;losrobles@losrobles.esc.com.ar;No usan libros de texto. Solo literatura
131;NUEVO HORIZONTE;MATHEU 1472;M;941-1724;CIUDAD DE BS AS;1249;PRIVADO;CIUDAD DE BS AS;03;CIUDAD DE BS AS;cenh@infovia.com.ar;
133;ESC. 01  VALENTIN GOMEZ;INDEPENDENCIA 758;JC;300-4258;CIUDAD DE BS AS;1099;OFICIAL;CIUDAD DE BS AS;03;CIUDAD DE BS AS;;
134;ESC. 03 MARIA SANCHEZ DE THOMPSON;TACUARI 567;JC;3343234;CIUDAD DE BS AS;1071;OFICIAL;CIUDAD DE BS AS;03;CIUDAD DE BS AS;;
135;ESC. 11 DR.RICARDO GUTIERREZ;PTE.LUIS S.PEÑA 1215;JC;305-0468;CIUDAD DE BS AS;1135;OFICIAL;CIUDAD DE BS AS;03;CIUDAD DE BS AS;;
136;ESC. 16 EUSTAQUIO CARDENAS;SALTA 1226;JC;305-6226;CIUDAD DE BS AS;1137;OFICIAL;CIUDAD DE BS AS;03;CIUDAD DE BS AS;;
137;ESC. 21 CARLOS PELLEGRINI;AV.ENTRE RIOS 1341;JC;304-0636;CIUDAD DE BS AS;1133;OFICIAL;CIUDAD DE BS AS;03;CIUDAD DE BS AS;caoppri2103@buenosaires.esc.edu.ar;
138;ESC. 23 GENERAL VIAMONTE;PASCO 961;JC;941-9624;CIUDAD DE BS AS;1219;OFICIAL;CIUDAD DE BS AS;03;CIUDAD DE BS AS;;
139;ESC. 25 GERVASIO POSADAS;AV SAN JUAN 2277;JC;9418450;CIUDAD DE BS AS;1232;OFICIAL;CIUDAD DE BS AS;03;CIUDAD DE BS AS;pri25de03@buenosaires.edu.ar;
140;ESC. 02  FRAY CAYETANO RODRIGUEZ;CHILE 1626;MT;383-3080;CIUDAD DE BS AS;1100;OFICIAL;CIUDAD DE BS AS;03;CIUDAD DE BS AS;;
141;ESC. 04 CNEL ISIDORO SUAREZ;VENEZUELA 771;MT;342-3228;CIUDAD DE BS AS;1095;OFICIAL;CIUDAD DE BS AS;03;CIUDAD DE BS AS;;
